date,ticket type,ticket class,sales
2017-01-01,return,first,13
2017-01-02,return,first,11
2017-01-03,return,first,14
2017-01-04,return,first,13
2017-01-05,return,first,10
2017-01-06,return,first,12
2017-01-07,return,first,10
2017-01-08,return,first,9
2017-01-09,return,first,12
2017-01-10,return,first,9
2017-01-11,return,first,9
2017-01-12,return,first,7
2017-01-13,return,first,10
2017-01-14,return,first,12
2017-01-15,return,first,5
2017-01-16,return,first,7
2017-01-17,return,first,16
2017-01-18,return,first,7
2017-01-19,return,first,18
2017-01-20,return,first,15
2017-01-21,return,first,8
2017-01-22,return,first,7
2017-01-23,return,first,9
2017-01-24,return,first,8
2017-01-25,return,first,14
2017-01-26,return,first,12
2017-01-27,return,first,12
2017-01-28,return,first,11
2017-01-29,return,first,6
2017-01-30,return,first,9
2017-01-31,return,first,13
2017-02-01,return,first,11
2017-02-02,return,first,21
2017-02-03,return,first,15
2017-02-04,return,first,14
2017-02-05,return,first,9
2017-02-06,return,first,10
2017-02-07,return,first,13
2017-02-08,return,first,11
2017-02-09,return,first,14
2017-02-10,return,first,11
2017-02-11,return,first,16
2017-02-12,return,first,11
2017-02-13,return,first,14
2017-02-14,return,first,10
2017-02-15,return,first,11
2017-02-16,return,first,7
2017-02-17,return,first,11
2017-02-18,return,first,10
2017-02-19,return,first,10
2017-02-20,return,first,7
2017-02-21,return,first,13
2017-02-22,return,first,12
2017-02-23,return,first,15
2017-02-24,return,first,11
2017-02-25,return,first,7
2017-02-26,return,first,9
2017-02-27,return,first,9
2017-02-28,return,first,10
2017-03-01,return,first,15
2017-03-02,return,first,13
2017-03-03,return,first,20
2017-03-04,return,first,14
2017-03-05,return,first,13
2017-03-06,return,first,17
2017-03-07,return,first,11
2017-03-08,return,first,15
2017-03-09,return,first,16
2017-03-10,return,first,11
2017-03-11,return,first,18
2017-03-12,return,first,14
2017-03-13,return,first,13
2017-03-14,return,first,10
2017-03-15,return,first,14
2017-03-16,return,first,10
2017-03-17,return,first,22
2017-03-18,return,first,11
2017-03-19,return,first,19
2017-03-20,return,first,14
2017-03-21,return,first,17
2017-03-22,return,first,21
2017-03-23,return,first,21
2017-03-24,return,first,19
2017-03-25,return,first,13
2017-03-26,return,first,16
2017-03-27,return,first,11
2017-03-28,return,first,13
2017-03-29,return,first,17
2017-03-30,return,first,19
2017-03-31,return,first,20
2017-04-01,return,first,11
2017-04-02,return,first,19
2017-04-03,return,first,24
2017-04-04,return,first,18
2017-04-05,return,first,19
2017-04-06,return,first,23
2017-04-07,return,first,17
2017-04-08,return,first,19
2017-04-09,return,first,13
2017-04-10,return,first,19
2017-04-11,return,first,16
2017-04-12,return,first,18
2017-04-13,return,first,17
2017-04-14,return,first,26
2017-04-15,return,first,14
2017-04-16,return,first,9
2017-04-17,return,first,17
2017-04-18,return,first,21
2017-04-19,return,first,22
2017-04-20,return,first,22
2017-04-21,return,first,20
2017-04-22,return,first,13
2017-04-23,return,first,11
2017-04-24,return,first,13
2017-04-25,return,first,14
2017-04-26,return,first,20
2017-04-27,return,first,22
2017-04-28,return,first,19
2017-04-29,return,first,11
2017-04-30,return,first,15
2017-05-01,return,first,16
2017-05-02,return,first,23
2017-05-03,return,first,22
2017-05-04,return,first,20
2017-05-05,return,first,14
2017-05-06,return,first,14
2017-05-07,return,first,15
2017-05-08,return,first,14
2017-05-09,return,first,11
2017-05-10,return,first,16
2017-05-11,return,first,19
2017-05-12,return,first,13
2017-05-13,return,first,9
2017-05-14,return,first,13
2017-05-15,return,first,16
2017-05-16,return,first,15
2017-05-17,return,first,16
2017-05-18,return,first,20
2017-05-19,return,first,19
2017-05-20,return,first,14
2017-05-21,return,first,24
2017-05-22,return,first,23
2017-05-23,return,first,14
2017-05-24,return,first,24
2017-05-25,return,first,25
2017-05-26,return,first,27
2017-05-27,return,first,7
2017-05-28,return,first,12
2017-05-29,return,first,10
2017-05-30,return,first,19
2017-05-31,return,first,27
2017-06-01,return,first,26
2017-06-02,return,first,22
2017-06-03,return,first,12
2017-06-04,return,first,15
2017-06-05,return,first,24
2017-06-06,return,first,9
2017-06-07,return,first,21
2017-06-08,return,first,20
2017-06-09,return,first,38
2017-06-10,return,first,20
2017-06-11,return,first,18
2017-06-12,return,first,22
2017-06-13,return,first,21
2017-06-14,return,first,22
2017-06-15,return,first,26
2017-06-16,return,first,23
2017-06-17,return,first,13
2017-06-18,return,first,21
2017-06-19,return,first,18
2017-06-20,return,first,24
2017-06-21,return,first,19
2017-06-22,return,first,23
2017-06-23,return,first,24
2017-06-24,return,first,17
2017-06-25,return,first,21
2017-06-26,return,first,21
2017-06-27,return,first,26
2017-06-28,return,first,17
2017-06-29,return,first,20
2017-06-30,return,first,24
2017-07-01,return,first,23
2017-07-02,return,first,17
2017-07-03,return,first,12
2017-07-04,return,first,24
2017-07-05,return,first,17
2017-07-06,return,first,16
2017-07-07,return,first,34
2017-07-08,return,first,20
2017-07-09,return,first,23
2017-07-10,return,first,14
2017-07-11,return,first,25
2017-07-12,return,first,29
2017-07-13,return,first,22
2017-07-14,return,first,29
2017-07-15,return,first,18
2017-07-16,return,first,12
2017-07-17,return,first,16
2017-07-18,return,first,21
2017-07-19,return,first,25
2017-07-20,return,first,25
2017-07-21,return,first,26
2017-07-22,return,first,18
2017-07-23,return,first,17
2017-07-24,return,first,21
2017-07-25,return,first,21
2017-07-26,return,first,31
2017-07-27,return,first,19
2017-07-28,return,first,25
2017-07-29,return,first,8
2017-07-30,return,first,26
2017-07-31,return,first,27
2017-08-01,return,first,21
2017-08-02,return,first,19
2017-08-03,return,first,24
2017-08-04,return,first,26
2017-08-05,return,first,17
2017-08-06,return,first,10
2017-08-07,return,first,25
2017-08-08,return,first,20
2017-08-09,return,first,19
2017-08-10,return,first,22
2017-08-11,return,first,25
2017-08-12,return,first,10
2017-08-13,return,first,11
2017-08-14,return,first,19
2017-08-15,return,first,22
2017-08-16,return,first,15
2017-08-17,return,first,29
2017-08-18,return,first,27
