date,ticket type,ticket class,sales
2013-01-01,return,first,13
2013-01-02,return,first,11
2013-01-03,return,first,14
2013-01-04,return,first,13
2013-01-05,return,first,10
2013-01-06,return,first,12
2013-01-07,return,first,10
2013-01-08,return,first,9
2013-01-09,return,first,12
2013-01-10,return,first,9
2013-01-11,return,first,9
2013-01-12,return,first,7
2013-01-13,return,first,10
2013-01-14,return,first,12
2013-01-15,return,first,5
2013-01-16,return,first,7
2013-01-17,return,first,16
2013-01-18,return,first,7
2013-01-19,return,first,18
2013-01-20,return,first,15
2013-01-21,return,first,8
2013-01-22,return,first,7
2013-01-23,return,first,9
2013-01-24,return,first,8
2013-01-25,return,first,14
2013-01-26,return,first,12
2013-01-27,return,first,12
2013-01-28,return,first,11
2013-01-29,return,first,6
2013-01-30,return,first,9
2013-01-31,return,first,13
2013-02-01,return,first,11
2013-02-02,return,first,21
2013-02-03,return,first,15
2013-02-04,return,first,14
2013-02-05,return,first,9
2013-02-06,return,first,10
2013-02-07,return,first,13
2013-02-08,return,first,11
2013-02-09,return,first,14
2013-02-10,return,first,11
2013-02-11,return,first,16
2013-02-12,return,first,11
2013-02-13,return,first,14
2013-02-14,return,first,10
2013-02-15,return,first,11
2013-02-16,return,first,7
2013-02-17,return,first,11
2013-02-18,return,first,10
2013-02-19,return,first,10
2013-02-20,return,first,7
2013-02-21,return,first,13
2013-02-22,return,first,12
2013-02-23,return,first,15
2013-02-24,return,first,11
2013-02-25,return,first,7
2013-02-26,return,first,9
2013-02-27,return,first,9
2013-02-28,return,first,10
2013-03-01,return,first,15
2013-03-02,return,first,13
2013-03-03,return,first,20
2013-03-04,return,first,14
2013-03-05,return,first,13
2013-03-06,return,first,17
2013-03-07,return,first,11
2013-03-08,return,first,15
2013-03-09,return,first,16
2013-03-10,return,first,11
2013-03-11,return,first,18
2013-03-12,return,first,14
2013-03-13,return,first,13
2013-03-14,return,first,10
2013-03-15,return,first,14
2013-03-16,return,first,10
2013-03-17,return,first,22
2013-03-18,return,first,11
2013-03-19,return,first,19
2013-03-20,return,first,14
2013-03-21,return,first,17
2013-03-22,return,first,21
2013-03-23,return,first,21
2013-03-24,return,first,19
2013-03-25,return,first,13
2013-03-26,return,first,16
2013-03-27,return,first,11
2013-03-28,return,first,13
2013-03-29,return,first,17
2013-03-30,return,first,19
2013-03-31,return,first,20
2013-04-01,return,first,11
2013-04-02,return,first,19
2013-04-03,return,first,24
2013-04-04,return,first,18
2013-04-05,return,first,19
2013-04-06,return,first,23
2013-04-07,return,first,17
2013-04-08,return,first,19
2013-04-09,return,first,13
2013-04-10,return,first,19
2013-04-11,return,first,16
2013-04-12,return,first,18
2013-04-13,return,first,17
2013-04-14,return,first,26
2013-04-15,return,first,14
2013-04-16,return,first,9
2013-04-17,return,first,17
2013-04-18,return,first,21
2013-04-19,return,first,22
2013-04-20,return,first,22
2013-04-21,return,first,20
2013-04-22,return,first,13
2013-04-23,return,first,11
2013-04-24,return,first,13
2013-04-25,return,first,14
2013-04-26,return,first,20
2013-04-27,return,first,22
2013-04-28,return,first,19
2013-04-29,return,first,11
2013-04-30,return,first,15
2013-05-01,return,first,16
2013-05-02,return,first,23
2013-05-03,return,first,22
2013-05-04,return,first,20
2013-05-05,return,first,14
2013-05-06,return,first,14
2013-05-07,return,first,15
2013-05-08,return,first,14
2013-05-09,return,first,11
2013-05-10,return,first,16
2013-05-11,return,first,19
2013-05-12,return,first,13
2013-05-13,return,first,9
2013-05-14,return,first,13
2013-05-15,return,first,16
2013-05-16,return,first,15
2013-05-17,return,first,16
2013-05-18,return,first,20
2013-05-19,return,first,19
2013-05-20,return,first,14
2013-05-21,return,first,24
2013-05-22,return,first,23
2013-05-23,return,first,14
2013-05-24,return,first,24
2013-05-25,return,first,25
2013-05-26,return,first,27
2013-05-27,return,first,7
2013-05-28,return,first,12
2013-05-29,return,first,10
2013-05-30,return,first,19
2013-05-31,return,first,27
2013-06-01,return,first,26
2013-06-02,return,first,22
2013-06-03,return,first,12
2013-06-04,return,first,15
2013-06-05,return,first,24
2013-06-06,return,first,9
2013-06-07,return,first,21
2013-06-08,return,first,20
2013-06-09,return,first,38
2013-06-10,return,first,20
2013-06-11,return,first,18
2013-06-12,return,first,22
2013-06-13,return,first,21
2013-06-14,return,first,22
2013-06-15,return,first,26
2013-06-16,return,first,23
2013-06-17,return,first,13
2013-06-18,return,first,21
2013-06-19,return,first,18
2013-06-20,return,first,24
2013-06-21,return,first,19
2013-06-22,return,first,23
2013-06-23,return,first,24
2013-06-24,return,first,17
2013-06-25,return,first,21
2013-06-26,return,first,21
2013-06-27,return,first,26
2013-06-28,return,first,17
2013-06-29,return,first,20
2013-06-30,return,first,24
2013-07-01,return,first,23
2013-07-02,return,first,17
2013-07-03,return,first,12
2013-07-04,return,first,24
2013-07-05,return,first,17
2013-07-06,return,first,16
2013-07-07,return,first,34
2013-07-08,return,first,20
2013-07-09,return,first,23
2013-07-10,return,first,14
2013-07-11,return,first,25
2013-07-12,return,first,29
2013-07-13,return,first,22
2013-07-14,return,first,29
2013-07-15,return,first,18
2013-07-16,return,first,12
2013-07-17,return,first,16
2013-07-18,return,first,21
2013-07-19,return,first,25
2013-07-20,return,first,25
2013-07-21,return,first,26
2013-07-22,return,first,18
2013-07-23,return,first,17
2013-07-24,return,first,21
2013-07-25,return,first,21
2013-07-26,return,first,31
2013-07-27,return,first,19
2013-07-28,return,first,25
2013-07-29,return,first,8
2013-07-30,return,first,26
2013-07-31,return,first,27
2013-08-01,return,first,21
2013-08-02,return,first,19
2013-08-03,return,first,24
2013-08-04,return,first,26
2013-08-05,return,first,17
2013-08-06,return,first,10
2013-08-07,return,first,25
2013-08-08,return,first,20
2013-08-09,return,first,19
2013-08-10,return,first,22
2013-08-11,return,first,25
2013-08-12,return,first,10
2013-08-13,return,first,11
2013-08-14,return,first,19
2013-08-15,return,first,22
2013-08-16,return,first,15
2013-08-17,return,first,29
2013-08-18,return,first,27
2013-08-19,return,first,11
2013-08-20,return,first,15
2013-08-21,return,first,20
2013-08-22,return,first,20
2013-08-23,return,first,19
2013-08-24,return,first,19
2013-08-25,return,first,23
2013-08-26,return,first,11
2013-08-27,return,first,16
2013-08-28,return,first,20
2013-08-29,return,first,14
2013-08-30,return,first,20
2013-08-31,return,first,25
2013-09-01,return,first,25
2013-09-02,return,first,10
2013-09-03,return,first,16
2013-09-04,return,first,10
2013-09-05,return,first,16
2013-09-06,return,first,20
2013-09-07,return,first,20
2013-09-08,return,first,19
2013-09-09,return,first,15
2013-09-10,return,first,17
